video,file,label,original,frame,fold
tnecbhfzba,200_0.png,1,yxvmusxvcz,200,0
pkkvvhnrla,0_0.png,1,xjzkfqddyk,0,3
koxwykmawn,170_0.png,1,syxobtuucp,170,0
zepsangjjb,290_0.png,1,nrnklcxdzq,290,1
nslhmkeicc,210_0.png,1,qarqtkvgby,210,3
ltqghwybkf,0_0.png,1,exseruhiuk,0,0
oakntpdygb,200_0.png,1,fnslimfagb,200,3
gtdjfweoyr,170_0.png,1,gnmmhlbzge,170,3
awnfpubqmo,170_0.png,1,lnhkjhyhvw,170,0
kdzirwrnyk,30_0.png,1,lsmnqsnqld,30,2
wpvnnqoqvc,0_0.png,1,srfefmyjvt,0,0
aeqpxjlbwu,150_0.png,1,qarqtkvgby,150,3
fzkzqwoghs,90_0.png,1,qyqufaskjs,90,0
qyqufaskjs,10_0.png,0,qyqufaskjs,10,0
viuioldtnu,100_0.png,1,exxqlfpnbz,100,2
hectzcuzdv,190_0.png,1,vtunvalyji,190,2
gvbcwuyaot,140_0.png,1,xdezcezszc,140,3
hbdvyzpqny,10_0.png,1,lsmnqsnqld,10,2
xnfrhixfym,180_0.png,1,fsaronfupy,180,3
ikpyxzpiiv,10_0.png,1,pqdeutauqc,10,3
pzzuimgwei,120_0.png,1,upmgtackuf,120,1
lrjxcwrzls,30_0.png,1,prmwoaeeng,30,2
qcsuzqqohv,20_0.png,1,kqlvggiqee,20,3
ivtbbwejej,240_0.png,1,kqlvggiqee,240,3
knxltsvzyu,210_0.png,0,knxltsvzyu,210,0
cbybbxuusl,70_0.png,1,wynotylpnm,70,2
runmncglnj,80_0.png,1,gnmmhlbzge,80,3
kcidxranvr,250_0.png,1,dpevefkefv,250,1
tamvgvhhbr,230_0.png,1,ljuuovfkgi,230,3
wpnukldybg,180_0.png,1,jytrvwlewz,180,1
miiocrddnj,270_0.png,1,lokzwdldxp,270,1
jwkgjrmfxp,210_0.png,1,fnslimfagb,210,3
coujjnypba,220_0.png,1,dxfdovivlw,220,3
chqqxfuuzi,130_0.png,0,chqqxfuuzi,130,1
dghhdvdzrb,80_0.png,1,vmxfwxgdei,80,1
ldpfwhrhcx,240_0.png,1,jytrvwlewz,240,1
guqayoypew,190_0.png,1,vpmyeepbep,190,2
lbuwogzooa,40_0.png,1,jawgcggquk,40,0
frmzkdhkzw,150_0.png,1,yljecirelf,150,0
mcjvcndrey,260_0.png,1,fopjiyxiqd,260,3
coujjnypba,50_0.png,1,dxfdovivlw,50,3
vqvmlwhabu,210_0.png,1,psjfwjzrrh,210,1
awnfpubqmo,100_0.png,1,lnhkjhyhvw,100,0
bytfrsxnwi,160_0.png,1,uprwuohbwx,160,2
horutnradk,110_0.png,1,uprwuohbwx,110,2
pmmhsciico,40_0.png,1,gnmmhlbzge,40,3
cqomufbzpp,280_0.png,1,lzbmwwejxb,280,3
lslmnvlhhe,60_0.png,1,qyqufaskjs,60,0
pfvbpqjaxg,50_0.png,1,wcqvzujamg,50,2
wnaweyzlqh,90_0.png,1,vpmyeepbep,90,2
tjywwgftmv,210_0.png,1,syxobtuucp,210,0
mzwfaambxx,120_0.png,1,wynotylpnm,120,2
oyqgwjdwaj,290_0.png,1,fopjiyxiqd,290,3
gfoozygynw,160_0.png,1,fdpisghkmd,160,1
pepaibwxnd,150_0.png,1,qarqtkvgby,150,3
mmuolksboc,170_0.png,1,wynotylpnm,170,2
ldtgofdaqg,0_0.png,0,ldtgofdaqg,0,0
srfefmyjvt,220_0.png,0,srfefmyjvt,220,0
muksyyltmg,140_0.png,1,fopjiyxiqd,140,3
syxobtuucp,280_0.png,0,syxobtuucp,280,0
wnlubukrki,250_0.png,1,uprwuohbwx,250,2
nswlwuzzda,200_0.png,1,ljuuovfkgi,200,3
vgdwxafmnp,210_0.png,1,gnmmhlbzge,210,3
lclrhuuwnj,140_0.png,1,fgobmbcami,140,1
doniqevxeg,30_0.png,0,doniqevxeg,30,3
twxnazwxup,20_0.png,1,fnslimfagb,20,3
eppmwpntfi,120_0.png,1,dxfdovivlw,120,3
pfvbpqjaxg,230_0.png,1,wcqvzujamg,230,2
culaevxduf,250_0.png,1,srfefmyjvt,250,0
ywajbwquvw,90_0.png,1,jawgcggquk,90,0
ucthmsajay,290_0.png,0,ucthmsajay,290,0
rpxnyljmsf,240_0.png,1,nweufafotd,240,3
gvbcwuyaot,60_0.png,1,xdezcezszc,60,3
pemiibmvkj,60_0.png,1,fdpisghkmd,60,1
vmdpfyfkwi,0_0.png,1,lnjkpdviqb,0,1
ddqtkrkmjn,180_0.png,1,srfefmyjvt,180,0
xbokoalmlv,200_0.png,1,uprwuohbwx,200,2
ynrueopehk,190_0.png,1,ybbrkacebd,190,1
mrhajrsgxh,230_0.png,1,prdrkaxeob,230,2
gvasarkpfh,120_0.png,0,gvasarkpfh,120,0
khfyqlxazq,190_0.png,1,nweufafotd,190,3
vqwkmjorkj,160_0.png,1,fopjiyxiqd,160,3
hurcutcxpb,270_0.png,1,fopjiyxiqd,270,3
tbujzmjpsl,210_0.png,1,heiyoojifp,210,3
sgdiraogcc,260_0.png,1,uprwuohbwx,260,2
prdrkaxeob,150_0.png,0,prdrkaxeob,150,2
sbgajsyted,130_0.png,1,rmufsuogzn,130,0
eisofhptvk,50_0.png,1,nweufafotd,50,3
prdrkaxeob,70_0.png,0,prdrkaxeob,70,2
ijgcwhjkua,70_0.png,1,yxvmusxvcz,70,0
yeouperxzc,280_0.png,1,vmxfwxgdei,280,1
fgobmbcami,230_1.png,0,fgobmbcami,230,1
hkvcbcfulf,230_0.png,1,uqtqhiqymz,230,3
